ID,Type of MB,Compound abbreviation,Types of contaminants,pH,Compound Mw (g/mol),Compound charge,Compound Kow,min projection (A),max projection (A),MB MWCO (Da),MB contact angle,MB zeta potential,Total charge,Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),compound size (nm),removal rate (%),reference,MWCO ref,MB contact angle ref,MB zeta potential ref,mem_material
77,BW30,SFX,Sulfamethoxazole,7,253.28,-0.8735,0.791,5.4,5.88,100,76,-1,0.8735,2000,10,1.2664,0.563,92.61,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
78,BW30,PFHxA,perfluorohexanoate,7.1,313.047,-1,3.712,3.69,5.63,100,43.7,-1,1,250,90,100,0.456,98.71,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
79,BW30,PFHxA,perfluorohexanoate,7.1,313.047,-1,3.712,3.69,5.63,100,43.7,-1,1,500,90,100,0.456,98.9,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
80,BW30,PFHxA,perfluorohexanoate,7.1,313.047,-1,3.712,3.69,5.63,100,43.7,-1,1,1000,90,100,0.456,99.3,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
81,BW30,PFHxA,perfluorohexanoate,7.1,313.047,-1,3.712,3.69,5.63,100,43.7,-1,1,2000,90,100,0.456,99.56,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
82,BW30,PFHxA,perfluorohexanoate,3.5,313.047,-1,3.712,3.69,5.63,100,43.7,1,-1,250,90,100,0.456,96.45,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
83,BW30,PFHxA,perfluorohexanoate,3.5,313.047,-1,3.712,3.69,5.63,100,43.7,1,-1,500,90,100,0.456,97.16,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
84,BW30,PFHxA,perfluorohexanoate,3.5,313.047,-1,3.712,3.69,5.63,100,43.7,1,-1,1000,90,100,0.456,98.93,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
85,BW30,PFHxA,perfluorohexanoate,3.5,313.047,-1,3.712,3.69,5.63,100,43.7,1,-1,2000,90,100,0.456,99.19,Selection of High Flux Membrane for the E??€ective Removal of ShortChain Per???uorocarboxylic Acids,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,Use of Reverse Osmosis Membranes to Remove Perfluorooctane Sulfonate (PFOS) from Semiconductor Wastewater,PA
86,BW30,26DBA,"2,6-Dichlorobenzamide",7,190.02,0,2.032,4.29,4.8,100,79.4,-1,0,1000,10,1,0.454,95.249,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment",Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
87,BW30,26DBA,"2,6-Dichlorobenzamide",7,190.02,0,2.032,4.29,4.8,100,79.4,-1,0,1000,10,5,0.454,98.337,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment",Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
88,BW30,26DBA,"2,6-Dichlorobenzamide",7,190.02,0,2.032,4.29,4.8,100,79.4,-1,0,1000,10,10,0.454,98.337,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment",Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
89,BW30,MCPA,MCPA,7,200.62,-1,2.411,4.18,6.37,100,79.4,-1,1,1000,10,1,0.516,96.2,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment",Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
90,BW30,MCPA,MCPA,7,200.62,-1,2.411,4.18,6.37,100,79.4,-1,1,1000,10,5,0.516,99.05,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment",Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
91,BW30,MCPA,MCPA,7,200.62,-1,2.411,4.18,6.37,100,79.4,-1,1,1000,10,10,0.516,98.575,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment",Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
92,BW30,MCPP,Mecoprop,7,214.65,-1,2.56,4.1,5.64,100,79.4,-1,1,1000,10,1,0.481,96.675,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment",Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
93,BW30,MCPP,Mecoprop,7,214.65,-1,2.56,4.1,5.64,100,79.4,-1,1,1000,10,5,0.481,99.05,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment",Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
94,BW30,MCPP,Mecoprop,7,214.65,-1,2.56,4.1,5.64,100,79.4,-1,1,1000,10,10,0.481,99.05,"The e??€ect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment",Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis membrane,,,PA
95,BW400,BMF,Bromoform,8,252.731,0,2.276,3.27,3.42,100,56.8,-1,0,620,104.38,0.1,0.334,95.08,Rejection of trace organic compounds by high-pressure membranes,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis,,,PA
96,BW400,BMF,Bromoform,8,252.731,0,2.276,3.27,3.42,100,56.8,-1,0,620,340.07,0.1,0.334,86.89,Rejection of trace organic compounds by high-pressure membranes,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis,,,PA
97,BW400,BMF,Bromoform,8,252.731,0,2.276,3.27,3.42,100,56.8,-1,0,620,707.07,0.1,0.334,70.08,Rejection of trace organic compounds by high-pressure membranes,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis,,,PA
98,BW400,BMF,Bromoform,8,252.731,0,2.276,3.27,3.42,100,56.8,-1,0,620,1427.61,0.1,0.334,38.12,Rejection of trace organic compounds by high-pressure membranes,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis,,,PA
99,BW400,BMF,Bromoform,8,252.731,0,2.276,3.27,3.42,100,56.8,-1,0,620,2865.32,0.1,0.334,15.16,Rejection of trace organic compounds by high-pressure membranes,Effects of feedwater pretreatment on the removal of organic microconstituents by a low fouling reverse osmosis,,,PA
100,BW440,CRF,Chloroform,8,119.37,0,1.825,3.04,3.18,100,56.8,-1,0,620,10,0.1,0.311,4,Arti???cial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nano???ltration and reverse osmosis membranes,,,,PA
101,BW440,CTB,Carbontetrabromide,8,331.627,0,3.597,3.37,3.42,100,56.8,-1,0,620,10,0.1,0.339,96,Arti???cial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nano???ltration and reverse osmosis membranes,,,,PA
102,BW440,CTC,Carbontetrachloride,8,153.81,0,2.997,3.16,3.18,100,56.8,-1,0,620,10,0.1,0.317,78,Arti???cial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nano???ltration and reverse osmosis membranes,,,,PA
103,BW440,PCE,Perchloroethylene,8,165.82,0,2.615,3.18,3.86,100,56.8,-1,0,620,10,0.1,0.35,71,Arti???cial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nano???ltration and reverse osmosis membranes,,,,PA
104,CK,ISPT,Isoproturon,7,206.289,0,2.57,3.51,6.98,225,54.2,-1,0,1000,10,12.4545,0.495,19.641,Removal of phenyl-urea herbicides in ultrapure water by ultrafiltration and nanofiltration processes,Influence of dissolved organic matter on estrone removalby NF membranes and the role of their structures,Influence of dissolved organic matter on estrone removalby NF membranes and the role of their structures,,CA
105,CK,LNR,Linuron,7,249.09,0,2.299,3.98,6.39,225,54.2,-1,0,1000,10,11.6545,0.504,60.549,Removal of phenyl-urea herbicides in ultrapure water by ultrafiltration and nanofiltration processes,Influence of dissolved organic matter on estrone removalby NF membranes and the role of their structures,Influence of dissolved organic matter on estrone removalby NF membranes and the role of their structures,,CA
106,CK,CLL,Chlortoluron,7,212.68,0,2.442,3.93,6.37,225,54.2,-1,0,1000,10,10.634,0.5,16.392,Removal of phenyl-urea herbicides in ultrapure water by ultrafiltration and nanofiltration processes,Influence of dissolved organic matter on estrone removalby NF membranes and the role of their structures,Influence of dissolved organic matter on estrone removalby NF membranes and the role of their structures,,CA
107,CK,DIR,Diuron,7,233.09,0,2.533,3.93,6.5,225,54.2,-1,0,1000,10,10.31445,0.505,25.844,Removal of phenyl-urea herbicides in ultrapure water by ultrafiltration and nanofiltration processes,Influence of dissolved organic matter on estrone removalby NF membranes and the role of their structures,Influence of dissolved organic matter on estrone removalby NF membranes and the role of their structures,,CA
108,CPA3,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,73,-1,0,1000,10,15,0.601,98.2,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,PA
109,CPA3,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,73,-1,0,1000,120,15,0.601,96.3,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,PA
110,CPA3,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,73,-1,0,1000,240,15,0.601,96.6,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,PA
111,CPA3,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,73,-1,0,1000,360,15,0.601,96.8,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,PA
112,CPA3,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,73,-1,0,1000,480,15,0.601,96.8,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,PA
113,CPA3,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,73,-1,0,1000,720,15,0.601,96.7,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,PA
114,CPA3,DXT,Dexamethasone,7,392.467,0,1.682,4.86,7.43,100,73,-1,0,1000,1440,15,0.601,97.1,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,PA
115,CPA3,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,73,-1,0,1000,10,15,0.579,95.8,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,PA
116,CPA3,HCT,Hydrocortisone,7,362.466,0,1.275,4.45,7.53,100,73,-1,0,1000,120,15,0.579,92.2,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,Removal of pesticides from the water and their adsorption on the reverse osmosis membranes of de???ned porous structure,PA
